,code,name
0,002001,新 和 成
1,002002,鸿达兴业
2,002003,伟星股份
3,002004,华邦健康
4,002005,德豪润达
5,002006,精功科技
6,002007,华兰生物
7,002008,大族激光
8,002009,天奇股份
9,002010,传化智联
10,002011,盾安环境
11,002012,凯恩股份
12,002013,中航机电
13,002014,永新股份
14,002015,霞客环保
15,002016,世荣兆业
16,002017,东信和平
17,002018,华信国际
18,002019,亿帆医药
19,002020,京新药业
20,002021,中捷资源
21,002022,科华生物
22,002023,海特高新
23,002024,苏宁云商
24,002025,航天电器
25,002026,山东威达
26,002027,分众传媒
27,002028,思源电气
28,002029,七 匹 狼
29,002030,达安基因
30,002031,巨轮智能
31,002032,苏 泊 尔
32,002033,丽江旅游
33,002034,美 欣 达
34,002035,华帝股份
35,002036,联创电子
36,002037,久联发展
37,002038,双鹭药业
38,002039,黔源电力
39,002040,南 京 港
40,002041,登海种业
41,002042,华孚色纺
42,002043,兔 宝 宝
43,002044,美年健康
44,002045,国光电器
45,002046,轴研科技
46,002047,宝鹰股份
47,002048,宁波华翔
48,002049,紫光国芯
49,002050,三花智控
50,002051,中工国际
51,002052,同洲电子
52,002053,云南能投
53,002054,德美化工
54,002055,得润电子
55,002056,横店东磁
56,002057,中钢天源
57,002058,威 尔 泰
58,002059,云南旅游
59,002060,粤 水 电
60,002061,江山化工
61,002062,宏润建设
62,002063,远光软件
63,002064,华峰氨纶
64,002065,东华软件
65,002066,瑞泰科技
66,002067,景兴纸业
67,002068,黑猫股份
68,002069,獐子岛
69,002070,*ST众和
70,002071,长城影视
71,002072,凯瑞德
72,002073,软控股份
73,002074,国轩高科
74,002075,沙钢股份
75,002076,雪 莱 特
76,002077,大港股份
77,002078,太阳纸业
78,002079,苏州固锝
79,002080,中材科技
80,002081,金 螳 螂
81,002082,栋梁新材
82,002083,孚日股份
83,002084,海鸥卫浴
84,002085,万丰奥威
85,002086,东方海洋
86,002087,新野纺织
87,002088,鲁阳节能
88,002089,新 海 宜
89,002090,金智科技
90,002091,江苏国泰
91,002092,中泰化学
92,002093,国脉科技
93,002094,青岛金王
94,002095,生 意 宝
95,002096,南岭民爆
96,002097,山河智能
97,002098,浔兴股份
98,002099,海翔药业
99,002100,天康生物
100,002101,广东鸿图
101,002102,冠福股份
102,002103,广博股份
103,002104,恒宝股份
104,002105,信隆健康
105,002106,莱宝高科
106,002107,沃华医药
107,002108,沧州明珠
108,002109,兴化股份
109,002110,三钢闽光
110,002111,威海广泰
111,002112,三变科技
112,002113,天润数娱
113,002114,罗平锌电
114,002115,三维通信
115,002116,中国海诚
116,002117,东港股份
117,002118,紫鑫药业
118,002119,康强电子
119,002120,韵达股份
120,002121,科陆电子
121,002122,天马股份
122,002123,梦网荣信
123,002124,天邦股份
124,002125,湘潭电化
125,002126,银轮股份
126,002127,南极电商
127,002128,露天煤业
128,002129,中环股份
129,002130,沃尔核材
130,002131,利欧股份
131,002132,恒星科技
132,002133,广宇集团
133,002134,*ST普林
134,002135,东南网架
135,002136,安 纳 达
136,002137,麦达数字
137,002138,顺络电子
138,002139,拓邦股份
139,002140,东华科技
140,002141,贤丰控股
141,002142,宁波银行
142,002143,印纪传媒
143,002144,宏达高科
144,002145,中核钛白
145,002146,荣盛发展
146,002147,新光圆成
147,002148,北纬通信
148,002149,西部材料
149,002150,通润装备
150,002151,北斗星通
151,002152,广电运通
152,002153,石基信息
153,002154,报 喜 鸟
154,002155,湖南黄金
155,002156,通富微电
156,002157,正邦科技
157,002158,汉钟精机
158,002159,三特索道
159,002160,常铝股份
160,002161,远 望 谷
161,002162,悦心健康
162,002163,中航三鑫
163,002164,宁波东力
164,002165,红 宝 丽
165,002166,莱茵生物
166,002167,东方锆业
167,002168,深圳惠程
168,002169,智光电气
169,002170,芭田股份
170,002171,楚江新材
171,002172,澳洋科技
172,002173,创新医疗
173,002174,游族网络
174,002175,东方网络
175,002176,江特电机
176,002177,御银股份
177,002178,延华智能
178,002179,中航光电
179,002180,艾派克
180,002181,粤 传 媒
181,002182,云海金属
182,002183,怡 亚 通
183,002184,海得控制
184,002185,华天科技
185,002186,全 聚 德
186,002187,广百股份
187,002188,巴士在线
188,002189,利达光电
189,002190,成飞集成
190,002191,劲嘉股份
191,002192,融捷股份
192,002193,山东如意
193,002194,武汉凡谷
194,002195,二三四五
195,002196,方正电机
196,002197,证通电子
197,002198,嘉应制药
198,002199,东晶电子
199,002200,云投生态
200,002201,九鼎新材
201,002202,金风科技
202,002203,海亮股份
203,002204,大连重工
204,002205,国统股份
205,002206,海 利 得
206,002207,*ST准油
207,002208,合肥城建
208,002209,达 意 隆
209,002210,飞马国际
210,002211,宏达新材
211,002212,南洋股份
212,002213,特 尔 佳
213,002214,大立科技
214,002215,诺 普 信
215,002216,三全食品
216,002217,合力泰
217,002218,拓日新能
218,002219,恒康医疗
219,002220,天宝股份
220,002221,东华能源
221,002222,福晶科技
222,002223,鱼跃医疗
223,002224,三 力 士
224,002225,濮耐股份
225,002226,江南化工
226,002227,奥 特 迅
227,002228,合兴包装
228,002229,鸿博股份
229,002230,科大讯飞
230,002231,奥维通信
231,002232,启明信息
232,002233,塔牌集团
233,002234,民和股份
234,002235,安妮股份
235,002236,大华股份
236,002237,恒邦股份
237,002238,天威视讯
238,002239,奥特佳
239,002240,威华股份
240,002241,歌尔股份
241,002242,九阳股份
242,002243,通产丽星
243,002244,滨江集团
244,002245,澳洋顺昌
245,002246,北化股份
246,002247,帝龙文化
247,002248,*ST东数
248,002249,大洋电机
249,002250,联化科技
250,002251,步 步 高
251,002252,上海莱士
252,002253,川大智胜
253,002254,泰和新材
254,002255,海陆重工
255,002256,兆新股份
256,002258,利尔化学
257,002259,升达林业
258,002260,德奥通航
259,002261,拓维信息
260,002262,恩华药业
261,002263,大 东 南
262,002264,新 华 都
263,002265,西仪股份
264,002266,浙富控股
265,002267,陕天然气
266,002268,卫 士 通
267,002269,美邦服饰
268,002270,华明装备
269,002271,东方雨虹
270,002272,川润股份
271,002273,水晶光电
272,002274,华昌化工
273,002275,桂林三金
274,002276,万马股份
275,002277,友阿股份
276,002278,神开股份
277,002279,久其软件
278,002280,联络互动
279,002281,光迅科技
280,002282,博深工具
281,002283,天润曲轴
282,002284,亚太股份
283,002285,世联行
284,002286,保龄宝
285,002287,奇正藏药
286,002288,超华科技
287,002289,*ST宇顺
288,002290,中科新材
289,002291,星期六
290,002292,奥飞娱乐
291,002293,罗莱生活
292,002294,信立泰
293,002295,精艺股份
294,002296,辉煌科技
295,002297,博云新材
296,002298,中电鑫龙
297,002299,圣农发展
298,002300,太阳电缆
299,002301,齐心集团
300,002302,西部建设
301,002303,美盈森
302,002304,洋河股份
303,002305,南国置业
304,002306,*ST云网
305,002307,北新路桥
306,002308,威创股份
307,002309,中利集团
308,002310,东方园林
309,002311,海大集团
310,002312,*ST三泰
311,002313,日海通讯
312,002314,南山控股
313,002315,焦点科技
314,002316,键桥通讯
315,002317,众生药业
316,002318,久立特材
317,002319,乐通股份
318,002320,海峡股份
319,002321,华英农业
320,002322,理工环科
321,002323,雅百特
322,002324,普利特
323,002325,洪涛股份
324,002326,永太科技
325,002327,富安娜
326,002328,新朋股份
327,002329,皇氏集团
328,002330,得利斯
329,002331,皖通科技
330,002332,仙琚制药
331,002333,罗普斯金
332,002334,英威腾
333,002335,科华恒盛
334,002336,人人乐
335,002337,赛象科技
336,002338,奥普光电
337,002339,积成电子
338,002340,格林美
339,002341,新纶科技
340,002342,巨力索具
341,002343,慈文传媒
342,002344,海宁皮城
343,002345,潮宏基
344,002346,柘中股份
345,002347,泰尔股份
346,002348,高乐股份
347,002349,精华制药
348,002350,北京科锐
349,002351,漫步者
350,002352,顺丰控股
351,002353,杰瑞股份
352,002354,天神娱乐
353,002355,兴民智通
354,002356,赫美集团
355,002357,富临运业
356,002358,森源电气
357,002359,齐星铁塔
358,002360,同德化工
359,002361,神剑股份
360,002362,汉王科技
361,002363,隆基机械
362,002364,中恒电气
363,002365,永安药业
364,002366,台海核电
365,002367,康力电梯
366,002368,太极股份
367,002369,卓翼科技
368,002370,亚太药业
369,002371,北方华创
370,002372,伟星新材
371,002373,千方科技
372,002374,丽鹏股份
373,002375,亚厦股份
374,002376,新北洋
375,002377,国创高新
376,002378,章源钨业
377,002379,*ST鲁丰
378,002380,科远股份
379,002381,双箭股份
380,002382,蓝帆医疗
381,002383,合众思壮
382,002384,东山精密
383,002385,大北农
384,002386,天原集团
385,002387,黑牛食品
386,002388,新亚制程
387,002389,南洋科技
388,002390,信邦制药
389,002391,长青股份
390,002392,北京利尔
391,002393,力生制药
392,002394,联发股份
393,002395,双象股份
394,002396,星网锐捷
395,002397,梦洁股份
